State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
Census Tract 1241.05,"2,425",725,29.90%,81,3.30%,3,0.10%,130,5.40%,1,0.00%,9,0.40%,66,2.70%,"1,410",0.58,0.3,140,6,37,124105
Census Tract 1242.01,"3,391","1,059",31.20%,90,2.70%,3,0.10%,288,8.50%,1,0.00%,21,0.60%,100,2.90%,"1,829",0.54,0.31,140,6,37,124201
Census Tract 1242.03,"2,450",557,22.70%,64,2.60%,8,0.30%,89,3.60%,0,0.00%,14,0.60%,41,1.70%,"1,677",0.68,0.23,140,6,37,124203
Census Tract 1242.04,"2,753",744,27.00%,137,5.00%,6,0.20%,119,4.30%,14,0.50%,18,0.70%,99,3.60%,"1,616",0.59,0.27,140,6,37,124204
Census Tract 1243,"3,830","1,016",26.50%,107,2.80%,3,0.10%,198,5.20%,2,0.10%,18,0.50%,113,3.00%,"2,373",0.62,0.27,140,6,37,124300
Census Tract 1244,"4,308","2,825",65.60%,152,3.50%,6,0.10%,171,4.00%,3,0.10%,89,2.10%,157,3.60%,905,0.21,0.66,140,6,37,124400
Census Tract 1245,"2,880","1,757",61.00%,132,4.60%,6,0.20%,205,7.10%,0,0.00%,22,0.80%,132,4.60%,626,0.22,0.61,140,6,37,124500
Census Tract 1246,"3,223","2,065",64.10%,174,5.40%,6,0.20%,249,7.70%,0,0.00%,20,0.60%,145,4.50%,564,0.18,0.64,140,6,37,124600
Census Tract 1247,"5,343","3,625",67.80%,328,6.10%,14,0.30%,326,6.10%,3,0.10%,39,0.70%,218,4.10%,790,0.15,0.68,140,6,37,124700
Census Tract 1249.02,"2,893","1,572",54.30%,201,6.90%,7,0.20%,239,8.30%,6,0.20%,16,0.60%,121,4.20%,731,0.25,0.54,140,6,37,124902
Census Tract 1249.03,"3,630","2,044",56.30%,260,7.20%,9,0.20%,247,6.80%,4,0.10%,28,0.80%,211,5.80%,827,0.23,0.56,140,6,37,124903
Census Tract 1251.01,"3,979","2,202",55.30%,305,7.70%,8,0.20%,340,8.50%,4,0.10%,29,0.70%,214,5.40%,877,0.22,0.55,140,6,37,125101
Census Tract 1251.02,"2,280","1,489",65.30%,115,5.00%,8,0.40%,141,6.20%,1,0.00%,5,0.20%,156,6.80%,365,0.16,0.65,140,6,37,125102
Census Tract 1252,"4,014","2,089",52.00%,268,6.70%,4,0.10%,274,6.80%,5,0.10%,25,0.60%,204,5.10%,"1,145",0.29,0.52,140,6,37,125200
Census Tract 1253.10,"4,941","1,913",38.70%,556,11.30%,10,0.20%,331,6.70%,7,0.10%,52,1.10%,254,5.10%,"1,818",0.37,0.39,140,6,37,125310
Census Tract 1253.21,"3,049","1,179",38.70%,295,9.70%,12,0.40%,323,10.60%,0,0.00%,18,0.60%,177,5.80%,"1,045",0.34,0.39,140,6,37,125321
Census Tract 1253.22,"2,222","1,090",49.10%,324,14.60%,0,0.00%,173,7.80%,6,0.30%,10,0.50%,129,5.80%,490,0.22,0.49,140,6,37,125322
Census Tract 1254.02,"4,076","2,245",55.10%,328,8.00%,12,0.30%,310,7.60%,6,0.10%,31,0.80%,268,6.60%,876,0.22,0.55,140,6,37,125402
Census Tract 1254.03,"2,181","1,073",49.20%,223,10.20%,4,0.20%,171,7.80%,3,0.10%,15,0.70%,130,6.00%,562,0.26,0.49,140,6,37,125403
Census Tract 1254.04,"3,133","1,512",48.30%,474,15.10%,7,0.20%,250,8.00%,4,0.10%,22,0.70%,208,6.60%,656,0.21,0.48,140,6,37,125404
Census Tract 1255.01,"3,249","1,773",54.60%,238,7.30%,2,0.10%,221,6.80%,6,0.20%,19,0.60%,147,4.50%,843,0.26,0.55,140,6,37,125501
Census Tract 1255.02,"3,572","2,152",60.20%,247,6.90%,10,0.30%,304,8.50%,0,0.00%,25,0.70%,205,5.70%,629,0.18,0.6,140,6,37,125502
Census Tract 1256,"2,599","1,828",70.30%,99,3.80%,4,0.20%,143,5.50%,5,0.20%,15,0.60%,107,4.10%,398,0.15,0.7,140,6,37,125600
Census Tract 1271.02,"5,450","1,205",22.10%,331,6.10%,7,0.10%,566,10.40%,12,0.20%,33,0.60%,143,2.60%,"3,153",0.58,0.22,140,6,37,127102
Census Tract 1271.03,"3,203",892,27.80%,164,5.10%,5,0.20%,198,6.20%,4,0.10%,32,1.00%,100,3.10%,"1,808",0.56,0.28,140,6,37,127103
Census Tract 1271.04,"4,140","1,408",34.00%,165,4.00%,0,0.00%,261,6.30%,8,0.20%,43,1.00%,102,2.50%,"2,153",0.52,0.34,140,6,37,127104
Census Tract 1272.10,"5,453","1,225",22.50%,339,6.20%,6,0.10%,630,11.60%,4,0.10%,50,0.90%,139,2.50%,"3,060",0.56,0.22,140,6,37,127210
Census Tract 1272.20,"4,993","1,096",22.00%,229,4.60%,11,0.20%,538,10.80%,5,0.10%,46,0.90%,109,2.20%,"2,959",0.59,0.22,140,6,37,127220
Census Tract 1273,"3,735","1,040",27.80%,198,5.30%,19,0.50%,429,11.50%,13,0.30%,27,0.70%,128,3.40%,"1,881",0.5,0.28,140,6,37,127300
Census Tract 1274,"5,529",901,16.30%,235,4.30%,10,0.20%,259,4.70%,1,0.00%,40,0.70%,128,2.30%,"3,955",0.72,0.16,140,6,37,127400
Census Tract 1275.20,"4,226",364,8.60%,251,5.90%,10,0.20%,320,7.60%,2,0.00%,23,0.50%,67,1.60%,"3,189",0.76,0.09,140,6,37,127520
Census Tract 1276.03,"2,949",448,15.20%,93,3.20%,1,0.00%,172,5.80%,5,0.20%,28,0.90%,61,2.10%,"2,141",0.73,0.15,140,6,37,127603
Census Tract 1276.04,"3,194",845,26.50%,195,6.10%,1,0.00%,289,9.00%,1,0.00%,17,0.50%,90,2.80%,"1,756",0.55,0.26,140,6,37,127604
Census Tract 1276.05,"3,314",468,14.10%,143,4.30%,8,0.20%,137,4.10%,2,0.10%,33,1.00%,55,1.70%,"2,468",0.75,0.14,140,6,37,127605
Census Tract 1276.06,"3,253",809,24.90%,169,5.20%,4,0.10%,272,8.40%,5,0.20%,24,0.70%,79,2.40%,"1,891",0.58,0.25,140,6,37,127606
Census Tract 1277.11,"3,434",970,28.20%,143,4.20%,1,0.00%,207,6.00%,0,0.00%,36,1.00%,129,3.80%,"1,948",0.57,0.28,140,6,37,127711
Census Tract 1277.12,"3,894",934,24.00%,270,6.90%,3,0.10%,261,6.70%,5,0.10%,28,0.70%,130,3.30%,"2,263",0.58,0.24,140,6,37,127712
Census Tract 1278.03,"5,076","1,252",24.70%,289,5.70%,2,0.00%,400,7.90%,4,0.10%,56,1.10%,133,2.60%,"2,940",0.58,0.25,140,6,37,127803
Census Tract 1278.04,"4,422","1,218",27.50%,342,7.70%,9,0.20%,459,10.40%,1,0.00%,31,0.70%,119,2.70%,"2,243",0.51,0.28,140,6,37,127804
Census Tract 1278.05,"3,514",856,24.40%,195,5.50%,2,0.10%,224,6.40%,6,0.20%,25,0.70%,65,1.80%,"2,141",0.61,0.24,140,6,37,127805
Census Tract 1278.06,"3,505",862,24.60%,193,5.50%,6,0.20%,269,7.70%,3,0.10%,30,0.90%,102,2.90%,"2,040",0.58,0.25,140,6,37,127806
Census Tract 1279.10,"5,209","1,105",21.20%,156,3.00%,3,0.10%,304,5.80%,0,0.00%,22,0.40%,90,1.70%,"3,529",0.68,0.21,140,6,37,127910
Census Tract 1279.20,"4,212","1,502",35.70%,121,2.90%,5,0.10%,230,5.50%,6,0.10%,28,0.70%,95,2.30%,"2,225",0.53,0.36,140,6,37,127920
Census Tract 1281.01,"3,635","1,613",44.40%,85,2.30%,6,0.20%,170,4.70%,18,0.50%,26,0.70%,101,2.80%,"1,616",0.45,0.44,140,6,37,128101
Census Tract 1281.02,"4,874",997,20.50%,253,5.20%,2,0.00%,273,5.60%,7,0.10%,36,0.70%,71,1.50%,"3,235",0.66,0.2,140,6,37,128102
Census Tract 1282.10,"4,809",704,14.60%,295,6.10%,10,0.20%,185,3.80%,1,0.00%,31,0.60%,100,2.10%,"3,483",0.72,0.15,140,6,37,128210
Census Tract 1282.20,"3,087","1,372",44.40%,136,4.40%,4,0.10%,148,4.80%,12,0.40%,18,0.60%,98,3.20%,"1,299",0.42,0.44,140,6,37,128220
Census Tract 1283.02,"4,654",682,14.70%,186,4.00%,5,0.10%,200,4.30%,0,0.00%,17,0.40%,93,2.00%,"3,471",0.75,0.15,140,6,37,128302
Census Tract 1283.03,"3,876",472,12.20%,111,2.90%,3,0.10%,203,5.20%,0,0.00%,23,0.60%,79,2.00%,"2,985",0.77,0.12,140,6,37,128303
Census Tract 1284,"4,516","2,157",47.80%,238,5.30%,4,0.10%,364,8.10%,0,0.00%,31,0.70%,237,5.20%,"1,485",0.33,0.48,140,6,37,128400
Census Tract 1285,"4,294","2,569",59.80%,225,5.20%,8,0.20%,369,8.60%,4,0.10%,36,0.80%,209,4.90%,874,0.2,0.6,140,6,37,128500
Census Tract 1286.01,"4,379","1,746",39.90%,226,5.20%,3,0.10%,210,4.80%,2,0.00%,22,0.50%,150,3.40%,"2,020",0.46,0.4,140,6,37,128601
Census Tract 1286.02,"3,422","2,150",62.80%,137,4.00%,5,0.10%,218,6.40%,4,0.10%,30,0.90%,169,4.90%,709,0.21,0.63,140,6,37,128602
Census Tract 1287.03,"3,317","2,078",62.60%,242,7.30%,3,0.10%,256,7.70%,4,0.10%,33,1.00%,188,5.70%,513,0.16,0.63,140,6,37,128703
Census Tract 1287.04,"2,594","1,641",63.30%,119,4.60%,8,0.30%,199,7.70%,2,0.10%,27,1.00%,145,5.60%,453,0.18,0.63,140,6,37,128704
Census Tract 1288.01,"3,805","2,067",54.30%,364,9.60%,8,0.20%,404,10.60%,1,0.00%,37,1.00%,220,5.80%,704,0.19,0.54,140,6,37,128801
Census Tract 1288.02,"4,673","2,614",55.90%,295,6.30%,2,0.00%,471,10.10%,1,0.00%,32,0.70%,265,5.70%,993,0.21,0.56,140,6,37,128802
Census Tract 1289.10,"4,384","2,670",60.90%,250,5.70%,5,0.10%,429,9.80%,7,0.20%,39,0.90%,269,6.10%,715,0.16,0.61,140,6,37,128910
Census Tract 1310.21,"2,972",618,20.80%,93,3.10%,1,0.00%,428,14.40%,0,0.00%,30,1.00%,66,2.20%,"1,736",0.58,0.21,140,6,37,131021
Census Tract 1310.22,"3,491",619,17.70%,190,5.40%,6,0.20%,458,13.10%,1,0.00%,30,0.90%,83,2.40%,"2,104",0.6,0.18,140,6,37,131022
Census Tract 1310.23,"2,628",504,19.20%,87,3.30%,4,0.20%,376,14.30%,0,0.00%,16,0.60%,54,2.10%,"1,587",0.6,0.19,140,6,37,131023
Census Tract 1310.24,"3,422",769,22.50%,122,3.60%,7,0.20%,366,10.70%,1,0.00%,14,0.40%,86,2.50%,"2,057",0.6,0.22,140,6,37,131024
Census Tract 1311,"3,264","1,313",40.20%,97,3.00%,2,0.10%,335,10.30%,3,0.10%,26,0.80%,114,3.50%,"1,374",0.42,0.4,140,6,37,131100
Census Tract 1312,"3,549","1,380",38.90%,129,3.60%,1,0.00%,381,10.70%,0,0.00%,28,0.80%,124,3.50%,"1,506",0.42,0.39,140,6,37,131200
Census Tract 1313,"4,854",946,19.50%,152,3.10%,4,0.10%,679,14.00%,8,0.20%,22,0.50%,125,2.60%,"2,918",0.6,0.19,140,6,37,131300
Census Tract 1314,"6,149","1,559",25.40%,337,5.50%,6,0.10%,"1,141",18.60%,9,0.10%,52,0.80%,216,3.50%,"2,829",0.46,0.25,140,6,37,131400
Census Tract 1316,"5,366","1,327",24.70%,141,2.60%,10,0.20%,711,13.30%,7,0.10%,21,0.40%,127,2.40%,"3,022",0.56,0.25,140,6,37,131600
Census Tract 1317.01,"4,794","1,216",25.40%,295,6.20%,9,0.20%,"1,001",20.90%,2,0.00%,31,0.60%,178,3.70%,"2,062",0.43,0.25,140,6,37,131701
Census Tract 1317.02,"3,602",865,24.00%,183,5.10%,6,0.20%,455,12.60%,0,0.00%,18,0.50%,101,2.80%,"1,974",0.55,0.24,140,6,37,131702
Census Tract 1318.01,"3,104",625,20.10%,102,3.30%,5,0.20%,408,13.10%,1,0.00%,18,0.60%,81,2.60%,"1,864",0.6,0.2,140,6,37,131801
Census Tract 1318.02,"2,552",723,28.30%,80,3.10%,6,0.20%,326,12.80%,0,0.00%,17,0.70%,50,2.00%,"1,350",0.53,0.28,140,6,37,131802
Census Tract 1319,"4,382","1,537",35.10%,120,2.70%,0,0.00%,495,11.30%,0,0.00%,27,0.60%,144,3.30%,"2,059",0.47,0.35,140,6,37,131900
Census Tract 1320.01,"3,335","1,575",47.20%,146,4.40%,1,0.00%,279,8.40%,0,0.00%,22,0.70%,168,5.00%,"1,144",0.34,0.47,140,6,37,132001
Census Tract 1320.02,"3,193","1,370",42.90%,76,2.40%,5,0.20%,263,8.20%,4,0.10%,16,0.50%,132,4.10%,"1,327",0.42,0.43,140,6,37,132002
Census Tract 1321.01,"4,330","1,295",29.90%,229,5.30%,2,0.00%,452,10.40%,2,0.00%,47,1.10%,153,3.50%,"2,150",0.5,0.3,140,6,37,132101
Census Tract 1321.02,"5,618","1,714",30.50%,335,6.00%,10,0.20%,595,10.60%,4,0.10%,43,0.80%,180,3.20%,"2,737",0.49,0.31,140,6,37,132102
Census Tract 1323.01,"3,577",893,25.00%,139,3.90%,2,0.10%,520,14.50%,1,0.00%,24,0.70%,131,3.70%,"1,867",0.52,0.25,140,6,37,132301
Census Tract 1323.02,"3,005",723,24.10%,73,2.40%,4,0.10%,212,7.10%,4,0.10%,10,0.30%,83,2.80%,"1,896",0.63,0.24,140,6,37,132302
Census Tract 1325.01,"4,357","1,382",31.70%,164,3.80%,16,0.40%,476,10.90%,2,0.00%,20,0.50%,124,2.80%,"2,173",0.5,0.32,140,6,37,132501
Census Tract 1325.02,"4,252","1,527",35.90%,143,3.40%,8,0.20%,553,13.00%,0,0.00%,44,1.00%,166,3.90%,"1,811",0.43,0.36,140,6,37,132502
Census Tract 1327,"5,038","1,444",28.70%,147,2.90%,8,0.20%,356,7.10%,2,0.00%,14,0.30%,138,2.70%,"2,929",0.58,0.29,140,6,37,132700
Census Tract 1329,"3,538","2,078",58.70%,106,3.00%,3,0.10%,282,8.00%,1,0.00%,10,0.30%,201,5.70%,857,0.24,0.59,140,6,37,132900
Census Tract 1330,"4,424","1,098",24.80%,186,4.20%,4,0.10%,506,11.40%,8,0.20%,54,1.20%,129,2.90%,"2,439",0.55,0.25,140,6,37,133000
Census Tract 1331.01,"2,091","1,071",51.20%,84,4.00%,2,0.10%,178,8.50%,1,0.00%,11,0.50%,111,5.30%,633,0.3,0.51,140,6,37,133101
Census Tract 1331.02,"3,376","1,491",44.20%,167,4.90%,19,0.60%,349,10.30%,3,0.10%,24,0.70%,126,3.70%,"1,197",0.36,0.44,140,6,37,133102
Census Tract 1340.01,"3,708",327,8.80%,90,2.40%,1,0.00%,410,11.10%,0,0.00%,22,0.60%,31,0.80%,"2,827",0.76,0.09,140,6,37,134001
Census Tract 1340.02,"3,483",637,18.30%,177,5.10%,6,0.20%,555,15.90%,4,0.10%,22,0.60%,86,2.50%,"1,996",0.57,0.18,140,6,37,134002
Census Tract 1341.01,"4,991","1,159",23.20%,201,4.00%,8,0.20%,"1,296",26.00%,3,0.10%,12,0.20%,141,2.80%,"2,171",0.44,0.23,140,6,37,134101
Census Tract 1341.03,"4,294","1,209",28.20%,142,3.30%,5,0.10%,827,19.30%,6,0.10%,19,0.40%,121,2.80%,"1,965",0.46,0.28,140,6,37,134103
Census Tract 1341.04,"4,429",820,18.50%,247,5.60%,8,0.20%,"1,244",28.10%,12,0.30%,43,1.00%,138,3.10%,"1,917",0.43,0.19,140,6,37,134104
Census Tract 1342.01,"4,271","1,028",24.10%,127,3.00%,5,0.10%,646,15.10%,2,0.00%,44,1.00%,123,2.90%,"2,296",0.54,0.24,140,6,37,134201
Census Tract 1343.02,"3,746","1,638",43.70%,128,3.40%,10,0.30%,714,19.10%,3,0.10%,47,1.30%,206,5.50%,"1,000",0.27,0.44,140,6,37,134302
Census Tract 1343.03,"5,166","1,938",37.50%,168,3.30%,8,0.20%,884,17.10%,8,0.20%,17,0.30%,248,4.80%,"1,895",0.37,0.38,140,6,37,134303
Census Tract 1343.04,"3,001","1,069",35.60%,130,4.30%,5,0.20%,674,22.50%,2,0.10%,16,0.50%,132,4.40%,973,0.32,0.36,140,6,37,134304
Census Tract 1343.05,"3,769",272,7.20%,132,3.50%,4,0.10%,264,7.00%,5,0.10%,25,0.70%,43,1.10%,"3,024",0.8,0.07,140,6,37,134305
Census Tract 1343.06,"3,553",754,21.20%,224,6.30%,6,0.20%,624,17.60%,3,0.10%,28,0.80%,129,3.60%,"1,785",0.5,0.21,140,6,37,134306
Census Tract 1344.21,"3,851","2,604",67.60%,82,2.10%,2,0.10%,491,12.70%,0,0.00%,23,0.60%,216,5.60%,433,0.11,0.68,140,6,37,134421
Census Tract 1344.22,"4,959","2,613",52.70%,210,4.20%,9,0.20%,970,19.60%,3,0.10%,27,0.50%,233,4.70%,894,0.18,0.53,140,6,37,134422
Census Tract 1344.23,"3,338","1,954",58.50%,97,2.90%,8,0.20%,515,15.40%,1,0.00%,12,0.40%,186,5.60%,565,0.17,0.59,140,6,37,134423
Census Tract 1344.24,"2,862","1,890",66.00%,74,2.60%,0,0.00%,540,18.90%,0,0.00%,13,0.50%,102,3.60%,243,0.09,0.66,140,6,37,134424
Census Tract 1345.20,"5,601",750,13.40%,189,3.40%,4,0.10%,497,8.90%,2,0.00%,62,1.10%,139,2.50%,"3,958",0.71,0.13,140,6,37,134520
Census Tract 1345.21,"2,972",115,3.90%,56,1.90%,5,0.20%,132,4.40%,3,0.10%,11,0.40%,23,0.80%,"2,627",0.88,0.04,140,6,37,134521
Census Tract 1345.22,"4,015",529,13.20%,140,3.50%,12,0.30%,364,9.10%,2,0.00%,16,0.40%,83,2.10%,"2,869",0.72,0.13,140,6,37,134522
Census Tract 1347.10,"5,183",668,12.90%,190,3.70%,13,0.30%,559,10.80%,8,0.20%,49,0.90%,103,2.00%,"3,593",0.69,0.13,140,6,37,134710
Census Tract 1347.20,"5,011","1,053",21.00%,250,5.00%,8,0.20%,950,19.00%,11,0.20%,37,0.70%,149,3.00%,"2,553",0.51,0.21,140,6,37,134720
Census Tract 1348.01,"3,177",891,28.00%,142,4.50%,6,0.20%,568,17.90%,2,0.10%,33,1.00%,101,3.20%,"1,434",0.45,0.28,140,6,37,134801
Census Tract 1348.02,"3,196",869,27.20%,111,3.50%,8,0.30%,427,13.40%,0,0.00%,12,0.40%,100,3.10%,"1,669",0.52,0.27,140,6,37,134802
Census Tract 1349.01,"3,266","1,723",52.80%,134,4.10%,7,0.20%,294,9.00%,5,0.20%,28,0.90%,163,5.00%,912,0.28,0.53,140,6,37,134901
Census Tract 1349.04,"4,368","1,197",27.40%,209,4.80%,11,0.30%,406,9.30%,4,0.10%,19,0.40%,175,4.00%,"2,347",0.54,0.27,140,6,37,134904
Census Tract 1349.05,"5,219","2,695",51.60%,701,13.40%,9,0.20%,706,13.50%,3,0.10%,47,0.90%,301,5.80%,757,0.15,0.52,140,6,37,134905
Census Tract 1349.06,"3,115",653,21.00%,207,6.60%,5,0.20%,441,14.20%,2,0.10%,41,1.30%,113,3.60%,"1,653",0.53,0.21,140,6,37,134906
Census Tract 1349.07,"2,953","1,293",43.80%,423,14.30%,1,0.00%,456,15.40%,10,0.30%,21,0.70%,195,6.60%,554,0.19,0.44,140,6,37,134907
Census Tract 1351.02,"3,612","1,993",55.20%,154,4.30%,4,0.10%,461,12.80%,10,0.30%,40,1.10%,212,5.90%,738,0.2,0.55,140,6,37,135102
Census Tract 1351.11,"3,118","1,591",51.00%,139,4.50%,4,0.10%,396,12.70%,3,0.10%,26,0.80%,159,5.10%,800,0.26,0.51,140,6,37,135111
Census Tract 1351.13,"3,240","1,535",47.40%,319,9.80%,8,0.20%,608,18.80%,0,0.00%,47,1.50%,186,5.70%,537,0.17,0.47,140,6,37,135113
Census Tract 1351.15,"4,698","1,710",36.40%,214,4.60%,3,0.10%,"1,958",41.70%,8,0.20%,45,1.00%,237,5.00%,523,0.11,0.36,140,6,37,135115
Census Tract 1351.16,"1,718",886,51.60%,152,8.80%,6,0.30%,244,14.20%,1,0.10%,7,0.40%,95,5.50%,327,0.19,0.52,140,6,37,135116
Census Tract 1352.01,"2,592","1,526",58.90%,75,2.90%,5,0.20%,410,15.80%,1,0.00%,25,1.00%,157,6.10%,393,0.15,0.59,140,6,37,135201
Census Tract 1352.02,"4,399","2,514",57.10%,104,2.40%,8,0.20%,708,16.10%,5,0.10%,39,0.90%,237,5.40%,784,0.18,0.57,140,6,37,135202
Census Tract 1352.04,"4,791","2,873",60.00%,142,3.00%,4,0.10%,677,14.10%,0,0.00%,24,0.50%,221,4.60%,850,0.18,0.6,140,6,37,135204
Census Tract 1352.05,"2,342","1,625",69.40%,39,1.70%,0,0.00%,338,14.40%,0,0.00%,16,0.70%,147,6.30%,177,0.08,0.69,140,6,37,135205
Census Tract 1370,"4,754","3,395",71.40%,131,2.80%,2,0.00%,370,7.80%,5,0.10%,30,0.60%,285,6.00%,536,0.11,0.71,140,6,37,137000
Census Tract 1371.03,"4,951","2,827",57.10%,311,6.30%,14,0.30%,698,14.10%,0,0.00%,30,0.60%,277,5.60%,794,0.16,0.57,140,6,37,137103
Census Tract 1371.04,"2,725","2,018",74.10%,89,3.30%,5,0.20%,195,7.20%,0,0.00%,18,0.70%,146,5.40%,254,0.09,0.74,140,6,37,137104
Census Tract 1372.02,"3,588","2,009",56.00%,230,6.40%,7,0.20%,544,15.20%,4,0.10%,26,0.70%,228,6.40%,540,0.15,0.56,140,6,37,137202
Census Tract 1372.03,"2,416","1,508",62.40%,63,2.60%,1,0.00%,197,8.20%,4,0.20%,7,0.30%,178,7.40%,458,0.19,0.62,140,6,37,137203
Census Tract 1373.01,"2,238","1,578",70.50%,53,2.40%,5,0.20%,180,8.00%,1,0.00%,15,0.70%,112,5.00%,294,0.13,0.71,140,6,37,137301
Census Tract 1373.02,"4,341","3,092",71.20%,104,2.40%,4,0.10%,463,10.70%,4,0.10%,33,0.80%,218,5.00%,423,0.1,0.71,140,6,37,137302
Census Tract 1374.01,"4,708","3,169",67.30%,180,3.80%,15,0.30%,378,8.00%,4,0.10%,43,0.90%,298,6.30%,621,0.13,0.67,140,6,37,137401
Census Tract 1374.02,"5,663","3,913",69.10%,283,5.00%,7,0.10%,431,7.60%,0,0.00%,46,0.80%,317,5.60%,666,0.12,0.69,140,6,37,137402
Census Tract 1375.01,"4,662","3,002",64.40%,368,7.90%,1,0.00%,387,8.30%,1,0.00%,33,0.70%,283,6.10%,587,0.13,0.64,140,6,37,137501
Census Tract 1375.02,"4,441","3,109",70.00%,148,3.30%,4,0.10%,316,7.10%,4,0.10%,42,0.90%,263,5.90%,555,0.13,0.7,140,6,37,137502
Census Tract 1375.04,"1,920","1,531",79.70%,51,2.70%,0,0.00%,105,5.50%,0,0.00%,11,0.60%,104,5.40%,118,0.06,0.8,140,6,37,137504
Census Tract 1380,"4,575","3,451",75.40%,119,2.60%,7,0.20%,307,6.70%,0,0.00%,53,1.20%,214,4.70%,424,0.09,0.75,140,6,37,138000
Census Tract 1390.01,"5,125","3,086",60.20%,239,4.70%,4,0.10%,374,7.30%,9,0.20%,28,0.50%,296,5.80%,"1,089",0.21,0.6,140,6,37,139001
Census Tract 1392,"5,519","3,381",61.30%,250,4.50%,9,0.20%,422,7.60%,6,0.10%,36,0.70%,293,5.30%,"1,122",0.2,0.61,140,6,37,139200
Census Tract 1393.01,"4,692","3,253",69.30%,163,3.50%,7,0.10%,377,8.00%,0,0.00%,48,1.00%,249,5.30%,595,0.13,0.69,140,6,37,139301
Census Tract 1393.02,"4,734","2,091",44.20%,372,7.90%,7,0.10%,426,9.00%,5,0.10%,40,0.80%,255,5.40%,"1,538",0.33,0.44,140,6,37,139302
Census Tract 1393.03,"4,481","2,308",51.50%,278,6.20%,2,0.00%,328,7.30%,5,0.10%,29,0.60%,195,4.40%,"1,336",0.3,0.52,140,6,37,139303
Census Tract 1394.01,"2,894","1,712",59.20%,156,5.40%,9,0.30%,217,7.50%,6,0.20%,22,0.80%,166,5.70%,606,0.21,0.59,140,6,37,139401
Census Tract 1394.02,"2,782","2,264",81.40%,51,1.80%,0,0.00%,132,4.70%,0,0.00%,18,0.60%,129,4.60%,188,0.07,0.81,140,6,37,139402
Census Tract 1395.02,"3,118","2,433",78.00%,50,1.60%,1,0.00%,138,4.40%,2,0.10%,20,0.60%,187,6.00%,287,0.09,0.78,140,6,37,139502
Census Tract 1395.04,"3,742","2,595",69.30%,196,5.20%,1,0.00%,221,5.90%,1,0.00%,21,0.60%,244,6.50%,463,0.12,0.69,140,6,37,139504
Census Tract 1395.05,"2,565","1,668",65.00%,126,4.90%,0,0.00%,192,7.50%,0,0.00%,20,0.80%,136,5.30%,423,0.17,0.65,140,6,37,139505
Census Tract 1395.06,"2,767","1,835",66.30%,124,4.50%,1,0.00%,212,7.70%,3,0.10%,25,0.90%,159,5.70%,408,0.15,0.66,140,6,37,139506
Census Tract 1396,"5,185","3,709",71.50%,222,4.30%,6,0.10%,389,7.50%,7,0.10%,38,0.70%,258,5.00%,556,0.11,0.72,140,6,37,139600
Census Tract 1397.01,"5,438","4,116",75.70%,136,2.50%,7,0.10%,406,7.50%,3,0.10%,54,1.00%,263,4.80%,453,0.08,0.76,140,6,37,139701
Census Tract 1397.03,"2,693","2,162",80.30%,35,1.30%,3,0.10%,179,6.60%,0,0.00%,17,0.60%,155,5.80%,142,0.05,0.8,140,6,37,139703
Census Tract 1397.04,"2,624","2,035",77.60%,52,2.00%,8,0.30%,185,7.10%,1,0.00%,10,0.40%,181,6.90%,152,0.06,0.78,140,6,37,139704
Census Tract 1397.05,"3,643","2,914",80.00%,47,1.30%,0,0.00%,253,6.90%,0,0.00%,19,0.50%,207,5.70%,203,0.06,0.8,140,6,37,139705
Census Tract 1398.01,"3,523","2,915",82.70%,76,2.20%,1,0.00%,156,4.40%,5,0.10%,9,0.30%,168,4.80%,193,0.06,0.83,140,6,37,139801
Census Tract 1398.02,"3,858","3,127",81.10%,73,1.90%,2,0.10%,227,5.90%,0,0.00%,20,0.50%,149,3.90%,260,0.07,0.81,140,6,37,139802
Census Tract 1411.01,"4,903","3,186",65.00%,267,5.40%,13,0.30%,337,6.90%,5,0.10%,57,1.20%,291,5.90%,747,0.15,0.65,140,6,37,141101
Census Tract 1411.02,"3,023","2,057",68.00%,158,5.20%,5,0.20%,187,6.20%,2,0.10%,19,0.60%,170,5.60%,425,0.14,0.68,140,6,37,141102
Census Tract 1412.01,"4,289","2,634",61.40%,275,6.40%,3,0.10%,312,7.30%,7,0.20%,21,0.50%,232,5.40%,805,0.19,0.61,140,6,37,141201
Census Tract 1412.02,"2,922","2,130",72.90%,99,3.40%,2,0.10%,176,6.00%,1,0.00%,41,1.40%,156,5.30%,317,0.11,0.73,140,6,37,141202
Census Tract 1413.03,"3,191","2,017",63.20%,181,5.70%,3,0.10%,276,8.60%,8,0.30%,16,0.50%,188,5.90%,502,0.16,0.63,140,6,37,141303
Census Tract 1413.04,"3,015","2,146",71.20%,135,4.50%,1,0.00%,179,5.90%,1,0.00%,28,0.90%,154,5.10%,371,0.12,0.71,140,6,37,141304
