State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),Hispanic Percent of Total,Summary level,State,County,Census Tract,,,,
Census Tract 54.07,"3,122","1,638",52.5%,68,2.2%,16,0.5%,237,7.6%,5,0.2%,18,0.6%,133,4.3%,"1,007",32.3%,140,06,019,005407,,,,
Census Tract 54.08,"1,908",783,41.0%,150,7.9%,1,0.1%,135,7.1%,0,0.0%,29,1.5%,65,3.4%,745,39.0%,140,06,019,005408,,,,
Census Tract 54.09,"3,738","1,124",30.1%,300,8.0%,28,0.7%,396,10.6%,17,0.5%,17,0.5%,154,4.1%,"1,702",45.5%,140,06,019,005409,,,,
Census Tract 54.10,"3,417","1,091",31.9%,141,4.1%,26,0.8%,473,13.8%,12,0.4%,13,0.4%,135,4.0%,"1,526",44.7%,140,06,019,005410,,,,
Census Tract 55.03,"6,643","3,827",57.6%,85,1.3%,42,0.6%,"1,312",19.8%,6,0.1%,39,0.6%,291,4.4%,"1,041",15.7%,140,06,019,005503,,,,
Census Tract 55.04,"3,496","1,651",47.2%,83,2.4%,4,0.1%,822,23.5%,5,0.1%,24,0.7%,171,4.9%,736,21.1%,140,06,019,005504,,,,
Census Tract 55.05,"6,685","3,266",48.9%,223,3.3%,30,0.4%,"1,298",19.4%,5,0.1%,31,0.5%,321,4.8%,"1,511",22.6%,140,06,019,005505,,,,
Census Tract 55.07,"6,097","3,086",50.6%,216,3.5%,34,0.6%,913,15.0%,3,0.0%,43,0.7%,260,4.3%,"1,542",25.3%,140,06,019,005507,,,,
Census Tract 55.08,"5,974","2,892",48.4%,180,3.0%,17,0.3%,"1,263",21.1%,15,0.3%,46,0.8%,279,4.7%,"1,282",21.5%,140,06,019,005508,,,,
Census Tract 55.09,"5,622","2,633",46.8%,232,4.1%,18,0.3%,990,17.6%,6,0.1%,42,0.7%,238,4.2%,"1,463",26.0%,140,06,019,005509,,,,
Census Tract 55.12,"5,444","2,854",52.4%,103,1.9%,25,0.5%,607,11.1%,23,0.4%,22,0.4%,277,5.1%,"1,533",28.2%,140,06,019,005512,,,,
Census Tract 55.13,"3,008","1,721",57.2%,83,2.8%,15,0.5%,377,12.5%,4,0.1%,12,0.4%,214,7.1%,582,19.3%,140,06,019,005513,,,,
Census Tract 55.14,"3,855","2,385",61.9%,68,1.8%,21,0.5%,401,10.4%,0,0.0%,20,0.5%,192,5.0%,768,19.9%,140,06,019,005514,,,,
Census Tract 55.15,"1,637",989,60.4%,21,1.3%,20,1.2%,223,13.6%,0,0.0%,1,0.1%,81,4.9%,302,18.4%,140,06,019,005515,,,,
Census Tract 55.16,"5,722","3,055",53.4%,221,3.9%,9,0.2%,742,13.0%,5,0.1%,34,0.6%,301,5.3%,"1,355",23.7%,140,06,019,005516,,,,
Census Tract 55.18,"7,318","3,919",53.6%,221,3.0%,15,0.2%,"1,142",15.6%,8,0.1%,56,0.8%,365,5.0%,"1,592",21.8%,140,06,019,005518,,,,
Census Tract 55.20,"3,419","1,905",55.7%,40,1.2%,16,0.5%,628,18.4%,0,0.0%,32,0.9%,145,4.2%,653,19.1%,140,06,019,005520,,,,
Census Tract 55.22,"4,792","2,928",61.1%,97,2.0%,19,0.4%,655,13.7%,3,0.1%,11,0.2%,245,5.1%,834,17.4%,140,06,019,005522,,,,
Census Tract 55.24,"4,727","2,780",58.8%,78,1.7%,7,0.1%,661,14.0%,3,0.1%,17,0.4%,209,4.4%,972,20.6%,140,06,019,005524,,,,
Census Tract 55.25,"1,392",824,59.2%,10,0.7%,3,0.2%,155,11.1%,0,0.0%,11,0.8%,70,5.0%,319,22.9%,140,06,019,005525,,,,
Census Tract 55.26,"1,595",806,50.5%,46,2.9%,17,1.1%,201,12.6%,0,0.0%,7,0.4%,83,5.2%,435,27.3%,140,06,019,005526,,,,
Census Tract 55.27,"3,381","2,019",59.7%,102,3.0%,18,0.5%,272,8.0%,0,0.0%,22,0.7%,139,4.1%,809,23.9%,140,06,019,005527,,,,
Census Tract 55.28,"1,583",935,59.1%,73,4.6%,5,0.3%,184,11.6%,0,0.0%,4,0.3%,76,4.8%,306,19.3%,140,06,019,005528,,,,
Census Tract 55.29,"6,014","3,380",56.2%,94,1.6%,14,0.2%,"1,043",17.3%,4,0.1%,48,0.8%,338,5.6%,"1,093",18.2%,140,06,019,005529,,,,
Census Tract 56.02,"5,649","2,627",46.5%,139,2.5%,68,1.2%,365,6.5%,42,0.7%,32,0.6%,264,4.7%,"2,112",37.4%,140,06,019,005602,,,,
Census Tract 56.05,"1,465",821,56.0%,38,2.6%,5,0.3%,112,7.6%,10,0.7%,13,0.9%,61,4.2%,405,27.6%,140,06,019,005605,,,,
Census Tract 56.06,"4,175","2,110",50.5%,97,2.3%,19,0.5%,454,10.9%,16,0.4%,49,1.2%,226,5.4%,"1,204",28.8%,140,06,019,005606,,,,
Census Tract 56.07,"4,438","1,958",44.1%,149,3.4%,35,0.8%,327,7.4%,27,0.6%,13,0.3%,215,4.8%,"1,714",38.6%,140,06,019,005607,,,,
Census Tract 56.08,"3,193","1,605",50.3%,75,2.3%,29,0.9%,114,3.6%,7,0.2%,19,0.6%,151,4.7%,"1,193",37.4%,140,06,019,005608,,,,
Census Tract 57.01,"3,758","1,781",47.4%,79,2.1%,55,1.5%,266,7.1%,15,0.4%,21,0.6%,181,4.8%,"1,360",36.2%,140,06,019,005701,,,,
Census Tract 57.02,"5,412","3,185",58.9%,97,1.8%,42,0.8%,388,7.2%,0,0.0%,30,0.6%,239,4.4%,"1,431",26.4%,140,06,019,005702,,,,
Census Tract 57.03,"5,066","2,952",58.3%,46,0.9%,22,0.4%,423,8.3%,10,0.2%,25,0.5%,275,5.4%,"1,313",25.9%,140,06,019,005703,,,,
Census Tract 57.04,"5,392","2,389",44.3%,80,1.5%,26,0.5%,377,7.0%,11,0.2%,26,0.5%,249,4.6%,"2,234",41.4%,140,06,019,005704,,,,
Census Tract 58.01,"5,395","2,579",47.8%,88,1.6%,33,0.6%,485,9.0%,15,0.3%,30,0.6%,214,4.0%,"1,951",36.2%,140,06,019,005801,,,,
Census Tract 58.02,"4,805","2,461",51.2%,84,1.7%,18,0.4%,719,15.0%,5,0.1%,28,0.6%,237,4.9%,"1,253",26.1%,140,06,019,005802,,,,
Census Tract 58.04,"6,620","2,302",34.8%,144,2.2%,72,1.1%,863,13.0%,21,0.3%,28,0.4%,286,4.3%,"2,904",43.9%,140,06,019,005804,,,,
Census Tract 58.05,"8,910","2,776",31.2%,240,2.7%,25,0.3%,"2,585",29.0%,14,0.2%,55,0.6%,396,4.4%,"2,819",31.6%,140,06,019,005805,,,,
Census Tract 59.04,"6,935","2,386",34.4%,91,1.3%,31,0.4%,"1,922",27.7%,10,0.1%,53,0.8%,284,4.1%,"2,158",31.1%,140,06,019,005904,,,,
Census Tract 59.06,"2,135","1,287",60.3%,6,0.3%,3,0.1%,137,6.4%,0,0.0%,15,0.7%,66,3.1%,621,29.1%,140,06,019,005906,,,,
Census Tract 59.07,"3,637","1,807",49.7%,126,3.5%,5,0.1%,520,14.3%,4,0.1%,28,0.8%,208,5.7%,939,25.8%,140,06,019,005907,,,,
Census Tract 59.11,"7,259","3,166",43.6%,196,2.7%,39,0.5%,"1,441",19.9%,4,0.1%,66,0.9%,338,4.7%,"2,009",27.7%,140,06,019,005911,,,,
Census Tract 59.12,"10,640","5,267",49.5%,301,2.8%,48,0.5%,"1,727",16.2%,18,0.2%,61,0.6%,553,5.2%,"2,665",25.0%,140,06,019,005912,,,,
Census Tract 59.13,"3,149","1,320",41.9%,70,2.2%,13,0.4%,660,21.0%,8,0.3%,19,0.6%,168,5.3%,891,28.3%,140,06,019,005913,,,,
Census Tract 59.14,"4,726","2,047",43.3%,83,1.8%,16,0.3%,"1,108",23.4%,8,0.2%,11,0.2%,223,4.7%,"1,230",26.0%,140,06,019,005914,,,,
Census Tract 59.15,"4,613","2,935",63.6%,69,1.5%,31,0.7%,454,9.8%,4,0.1%,48,1.0%,216,4.7%,856,18.6%,140,06,019,005915,,,,
Census Tract 59.16,"3,030","1,465",48.3%,14,0.5%,24,0.8%,414,13.7%,0,0.0%,22,0.7%,106,3.5%,985,32.5%,140,06,019,005916,,,,
Census Tract 60.01,"6,090","1,270",20.9%,66,1.1%,26,0.4%,242,4.0%,7,0.1%,18,0.3%,132,2.2%,"4,329",71.1%,140,06,019,006001,,,,
Census Tract 60.02,"4,406",653,14.8%,16,0.4%,19,0.4%,85,1.9%,1,0.0%,19,0.4%,49,1.1%,"3,564",80.9%,140,06,019,006002,,,,
Census Tract 61.01,"3,293",363,11.0%,30,0.9%,12,0.4%,363,11.0%,9,0.3%,7,0.2%,48,1.5%,"2,461",74.7%,140,06,019,006101,,,,
Census Tract 61.02,"4,729",495,10.5%,33,0.7%,7,0.1%,39,0.8%,4,0.1%,9,0.2%,68,1.4%,"4,074",86.1%,140,06,019,006102,,,,
Census Tract 62.01,"2,680",158,5.9%,24,0.9%,2,0.1%,23,0.9%,10,0.4%,12,0.4%,16,0.6%,"2,435",90.9%,140,06,019,006201,,,,
Census Tract 62.02,"7,057",506,7.2%,26,0.4%,13,0.2%,105,1.5%,1,0.0%,21,0.3%,45,0.6%,"6,340",89.8%,140,06,019,006202,,,,
Census Tract 63.01,"5,081","1,107",21.8%,27,0.5%,12,0.2%,269,5.3%,0,0.0%,19,0.4%,126,2.5%,"3,521",69.3%,140,06,019,006301,,,,
Census Tract 63.02,"2,227","1,082",48.6%,2,0.1%,15,0.7%,44,2.0%,0,0.0%,19,0.9%,58,2.6%,"1,007",45.2%,140,06,019,006302,,,,
Census Tract 64.05,"5,185","3,684",71.1%,55,1.1%,165,3.2%,165,3.2%,6,0.1%,19,0.4%,345,6.7%,746,14.4%,140,06,019,006405,,,,
Census Tract 64.06,"2,119","1,669",78.8%,15,0.7%,18,0.8%,23,1.1%,1,0.0%,12,0.6%,137,6.5%,244,11.5%,140,06,019,006406,,,,
Census Tract 64.07,"2,703","1,909",70.6%,19,0.7%,112,4.1%,52,1.9%,0,0.0%,15,0.6%,156,5.8%,440,16.3%,140,06,019,006407,,,,
Census Tract 64.08,"1,160",818,70.5%,8,0.7%,70,6.0%,9,0.8%,6,0.5%,17,1.5%,86,7.4%,146,12.6%,140,06,019,006408,,,,
Census Tract 64.09,"1,570","1,154",73.5%,0,0.0%,161,10.3%,11,0.7%,0,0.0%,11,0.7%,49,3.1%,184,11.7%,140,06,019,006409,,,,
Census Tract 64.10,"2,441","1,591",65.2%,38,1.6%,75,3.1%,65,2.7%,0,0.0%,16,0.7%,135,5.5%,521,21.3%,140,06,019,006410,,,,
Census Tract 64.11,"3,969","2,727",68.7%,30,0.8%,40,1.0%,97,2.4%,5,0.1%,22,0.6%,212,5.3%,836,21.1%,140,06,019,006411,,,,
Census Tract 65.01,"6,295",338,5.4%,17,0.3%,14,0.2%,50,0.8%,1,0.0%,9,0.1%,47,0.7%,"5,819",92.4%,140,06,019,006501,,,,
Census Tract 65.02,"4,489",222,4.9%,11,0.2%,5,0.1%,33,0.7%,4,0.1%,0,0.0%,29,0.6%,"4,185",93.2%,140,06,019,006502,,,,
Census Tract 66.02,"5,912",478,8.1%,18,0.3%,16,0.3%,99,1.7%,0,0.0%,44,0.7%,39,0.7%,"5,218",88.3%,140,06,019,006602,,,,
Census Tract 66.03,"2,179",545,25.0%,19,0.9%,10,0.5%,46,2.1%,0,0.0%,18,0.8%,48,2.2%,"1,493",68.5%,140,06,019,006603,,,,
Census Tract 66.05,"1,723",291,16.9%,7,0.4%,2,0.1%,40,2.3%,2,0.1%,6,0.3%,30,1.7%,"1,345",78.1%,140,06,019,006605,,,,
Census Tract 66.06,"5,579",126,2.3%,2,0.0%,0,0.0%,100,1.8%,1,0.0%,23,0.4%,32,0.6%,"5,295",94.9%,140,06,019,006606,,,,
Census Tract 67,"7,141","1,948",27.3%,13,0.2%,12,0.2%,224,3.1%,1,0.0%,71,1.0%,163,2.3%,"4,709",65.9%,140,06,019,006700,,,,
Census Tract 68.02,"3,666",373,10.2%,4,0.1%,2,0.1%,49,1.3%,6,0.2%,4,0.1%,44,1.2%,"3,184",86.9%,140,06,019,006802,,,,
Census Tract 69,"2,789",353,12.7%,14,0.5%,2,0.1%,159,5.7%,1,0.0%,2,0.1%,30,1.1%,"2,228",79.9%,140,06,019,006900,,,,
Census Tract 70.02,"4,831",607,12.6%,25,0.5%,18,0.4%,34,0.7%,3,0.1%,29,0.6%,96,2.0%,"4,019",83.2%,140,06,019,007002,,,,
Census Tract 70.03,"8,006",846,10.6%,60,0.7%,29,0.4%,431,5.4%,5,0.1%,34,0.4%,91,1.1%,"6,510",81.3%,140,06,019,007003,,,,
Census Tract 70.04,"6,042","1,211",20.0%,37,0.6%,21,0.3%,431,7.1%,1,0.0%,51,0.8%,147,2.4%,"4,143",68.6%,140,06,019,007004,,,,
Census Tract 71.01,"6,262",260,4.2%,38,0.6%,13,0.2%,255,4.1%,0,0.0%,10,0.2%,74,1.2%,"5,612",89.6%,140,06,019,007101,,,,
Census Tract 71.02,"1,670",201,12.0%,15,0.9%,16,1.0%,21,1.3%,1,0.1%,8,0.5%,21,1.3%,"1,387",83.1%,140,06,019,007102,,,,
Census Tract 72.02,"5,292","1,705",32.2%,24,0.5%,12,0.2%,134,2.5%,7,0.1%,26,0.5%,178,3.4%,"3,206",60.6%,140,06,019,007202,,,,
Census Tract 72.03,"1,871","1,181",63.1%,6,0.3%,5,0.3%,78,4.2%,3,0.2%,17,0.9%,82,4.4%,499,26.7%,140,06,019,007203,,,,
Census Tract 72.04,"6,433","2,914",45.3%,19,0.3%,30,0.5%,236,3.7%,3,0.0%,44,0.7%,210,3.3%,"2,977",46.3%,140,06,019,007204,,,,
Census Tract 73,"4,422","1,131",25.6%,16,0.4%,20,0.5%,393,8.9%,0,0.0%,57,1.3%,115,2.6%,"2,690",60.8%,140,06,019,007300,,,,
Census Tract 74,"3,213",845,26.3%,22,0.7%,14,0.4%,16,0.5%,2,0.1%,6,0.2%,43,1.3%,"2,265",70.5%,140,06,019,007400,,,,
Census Tract 75,"5,393","1,102",20.4%,27,0.5%,32,0.6%,309,5.7%,0,0.0%,24,0.4%,89,1.7%,"3,810",70.6%,140,06,019,007500,,,,
Census Tract 76,"4,594",842,18.3%,30,0.7%,9,0.2%,203,4.4%,0,0.0%,27,0.6%,53,1.2%,"3,430",74.7%,140,06,019,007600,,,,
Census Tract 77,"5,691","1,130",19.9%,56,1.0%,19,0.3%,24,0.4%,1,0.0%,21,0.4%,119,2.1%,"4,321",75.9%,140,06,019,007700,,,,
Census Tract 78.01,"2,474",71,2.9%,0,0.0%,4,0.2%,12,0.5%,1,0.0%,8,0.3%,17,0.7%,"2,361",95.4%,140,06,019,007801,,,,
Census Tract 78.02,"4,902",133,2.7%,29,0.6%,9,0.2%,43,0.9%,0,0.0%,0,0.0%,13,0.3%,"4,675",95.4%,140,06,019,007802,,,,
Census Tract 79.03,"7,077","1,879",26.6%,382,5.4%,63,0.9%,112,1.6%,12,0.2%,13,0.2%,95,1.3%,"4,521",63.9%,140,06,019,007903,,,,
Census Tract 80,"4,918","1,611",32.8%,141,2.9%,25,0.5%,78,1.6%,6,0.1%,22,0.4%,125,2.5%,"2,910",59.2%,140,06,019,008000,,,,
Census Tract 81,"6,518","1,465",22.5%,146,2.2%,29,0.4%,190,2.9%,10,0.2%,35,0.5%,146,2.2%,"4,497",69.0%,140,06,019,008100,,,,
Census Tract 82,"6,506",366,5.6%,39,0.6%,9,0.1%,13,0.2%,3,0.0%,33,0.5%,31,0.5%,"6,012",92.4%,140,06,019,008200,,,,
Census Tract 83.01,"5,828",202,3.5%,5,0.1%,9,0.2%,7,0.1%,1,0.0%,21,0.4%,7,0.1%,"5,576",95.7%,140,06,019,008301,,,,
Census Tract 83.03,"4,052",54,1.3%,0,0.0%,7,0.2%,3,0.1%,0,0.0%,13,0.3%,36,0.9%,"3,939",97.2%,140,06,019,008303,,,,
Census Tract 83.04,"4,387",223,5.1%,195,4.4%,39,0.9%,35,0.8%,0,0.0%,12,0.3%,9,0.2%,"3,874",88.3%,140,06,019,008304,,,,
Census Tract 84.02,"1,047",282,26.9%,12,1.1%,0,0.0%,2,0.2%,0,0.0%,7,0.7%,13,1.2%,731,69.8%,140,06,019,008402,,,,
Census Tract 84.03,"1,805",245,13.6%,1,0.1%,0,0.0%,7,0.4%,3,0.2%,7,0.4%,8,0.4%,"1,534",85.0%,140,06,019,008403,,,,
Census Tract 84.04,"3,638",145,4.0%,20,0.5%,0,0.0%,8,0.2%,0,0.0%,10,0.3%,14,0.4%,"3,441",94.6%,140,06,019,008404,,,,
Census Tract 84.05,"3,121",165,5.3%,12,0.4%,3,0.1%,1,0.0%,0,0.0%,14,0.4%,9,0.3%,"2,917",93.5%,140,06,019,008405,,,,
Census Tract 85.01,"3,880",116,3.0%,19,0.5%,5,0.1%,61,1.6%,0,0.0%,11,0.3%,10,0.3%,"3,658",94.3%,140,06,019,008501,,,,
Census Tract 85.03,"4,999",54,1.1%,10,0.2%,6,0.1%,17,0.3%,2,0.0%,6,0.1%,14,0.3%,"4,890",97.8%,140,06,019,008503,,,,
Census Tract 85.04,"3,670",64,1.7%,8,0.2%,1,0.0%,15,0.4%,0,0.0%,0,0.0%,11,0.3%,"3,571",97.3%,140,06,019,008504,,,,
Census Tract 86,"3,993",915,22.9%,287,7.2%,16,0.4%,482,12.1%,0,0.0%,14,0.4%,74,1.9%,"2,205",55.2%,140,06,019,008600,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn County,"28,917","13,897",48.1%,140,0.5%,531,1.8%,626,2.2%,39,0.1%,144,0.5%,999,3.5%,"12,541",43.4%,050,06,021,,,,,
Census Tract 101.01,"4,841","1,816",37.5%,22,0.5%,52,1.1%,133,2.7%,8,0.2%,20,0.4%,171,3.5%,"2,619",54.1%,140,06,021,010101,,,,
Census Tract 101.02,"4,384","1,989",45.4%,14,0.3%,48,1.1%,55,1.3%,4,0.1%,37,0.8%,173,3.9%,"2,064",47.1%,140,06,021,010102,,,,
Census Tract 102,"4,967","2,623",52.8%,16,0.3%,52,1.0%,62,1.2%,3,0.1%,28,0.6%,165,3.3%,"2,018",40.6%,140,06,021,010200,,,,
Census Tract 103,"2,202","1,443",65.5%,17,0.8%,186,8.4%,3,0.1%,6,0.3%,9,0.4%,60,2.7%,478,21.7%,140,06,021,010300,,,,
Census Tract 104.01,"1,564",901,57.6%,4,0.3%,29,1.9%,45,2.9%,5,0.3%,5,0.3%,75,4.8%,500,32.0%,140,06,021,010401,,,,
Census Tract 104.02,"6,313","3,242",51.4%,46,0.7%,134,2.1%,268,4.2%,7,0.1%,20,0.3%,260,4.1%,"2,336",37.0%,140,06,021,010402,,,,
Census Tract 105.01,"3,189",802,25.1%,18,0.6%,13,0.4%,54,1.7%,3,0.1%,8,0.3%,52,1.6%,"2,239",70.2%,140,06,021,010501,,,,
Census Tract 105.02,"1,457","1,081",74.2%,3,0.2%,17,1.2%,6,0.4%,3,0.2%,17,1.2%,43,3.0%,287,19.7%,140,06,021,010502,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,"136,463","93,316",68.4%,"1,729",1.3%,"7,454",5.5%,"3,495",2.6%,436,0.3%,"1,091",0.8%,"10,407",7.6%,"18,535",13.6%,050,06,023,,,,,
Census Tract 1,"4,752","2,740",57.7%,133,2.8%,189,4.0%,232,4.9%,65,1.4%,30,0.6%,370,7.8%,993,20.9%,140,06,023,000100,,,,
Census Tract 2,"6,020","3,651",60.6%,110,1.8%,222,3.7%,334,5.5%,83,1.4%,52,0.9%,523,8.7%,"1,045",17.4%,140,06,023,000200,,,,
Census Tract 3,"5,520","3,597",65.2%,90,1.6%,156,2.8%,414,7.5%,34,0.6%,69,1.3%,457,8.3%,703,12.7%,140,06,023,000300,,,,
Census Tract 4,"4,100","2,693",65.7%,53,1.3%,123,3.0%,268,6.5%,17,0.4%,21,0.5%,288,7.0%,637,15.5%,140,06,023,000400,,,,
Census Tract 5,"3,626","2,257",62.2%,110,3.0%,144,4.0%,174,4.8%,23,0.6%,19,0.5%,328,9.0%,571,15.7%,140,06,023,000500,,,,
Census Tract 6,"4,977","3,616",72.7%,55,1.1%,144,2.9%,231,4.6%,11,0.2%,29,0.6%,346,7.0%,545,11.0%,140,06,023,000600,,,,
Census Tract 7,"5,496","4,024",73.2%,49,0.9%,175,3.2%,236,4.3%,31,0.6%,41,0.7%,354,6.4%,586,10.7%,140,06,023,000700,,,,
Census Tract 8,"4,868","3,442",70.7%,81,1.7%,129,2.6%,189,3.9%,18,0.4%,45,0.9%,411,8.4%,553,11.4%,140,06,023,000800,,,,
Census Tract 9,"5,149","4,049",78.6%,39,0.8%,54,1.0%,108,2.1%,10,0.2%,57,1.1%,348,6.8%,484,9.4%,140,06,023,000900,,,,
Census Tract 10.01,"2,865","1,867",65.2%,89,3.1%,50,1.7%,48,1.7%,3,0.1%,34,1.2%,205,7.2%,569,19.9%,140,06,023,001001,,,,
Census Tract 10.02,"3,285","1,902",57.9%,154,4.7%,47,1.4%,65,2.0%,17,0.5%,20,0.6%,218,6.6%,862,26.2%,140,06,023,001002,,,,
Census Tract 11.02,"5,124","3,472",67.8%,88,1.7%,142,2.8%,138,2.7%,16,0.3%,53,1.0%,365,7.1%,850,16.6%,140,06,023,001102,,,,
Census Tract 11.03,"1,889","1,367",72.4%,39,2.1%,37,2.0%,32,1.7%,1,0.1%,15,0.8%,147,7.8%,251,13.3%,140,06,023,001103,,,,
Census Tract 12,"5,141","3,229",62.8%,97,1.9%,138,2.7%,129,2.5%,4,0.1%,43,0.8%,409,8.0%,"1,092",21.2%,140,06,023,001200,,,,
Census Tract 13,"1,433","1,054",73.6%,23,1.6%,42,2.9%,12,0.8%,10,0.7%,17,1.2%,127,8.9%,148,10.3%,140,06,023,001300,,,,
Census Tract 101.02,"2,914","1,642",56.3%,13,0.4%,704,24.2%,23,0.8%,6,0.2%,34,1.2%,290,10.0%,202,6.9%,140,06,023,010102,,,,
Census Tract 102,"2,921","2,235",76.5%,9,0.3%,154,5.3%,38,1.3%,5,0.2%,22,0.8%,227,7.8%,231,7.9%,140,06,023,010200,,,,
Census Tract 103,"3,496","2,744",78.5%,22,0.6%,160,4.6%,18,0.5%,8,0.2%,27,0.8%,294,8.4%,223,6.4%,140,06,023,010300,,,,
Census Tract 104,"3,814","2,792",73.2%,27,0.7%,198,5.2%,50,1.3%,4,0.1%,23,0.6%,375,9.8%,345,9.0%,140,06,023,010400,,,,
Census Tract 105.02,"5,577","4,142",74.3%,46,0.8%,225,4.0%,85,1.5%,10,0.2%,47,0.8%,497,8.9%,525,9.4%,140,06,023,010502,,,,
Census Tract 105.03,"3,858","2,660",68.9%,52,1.3%,156,4.0%,76,2.0%,4,0.1%,41,1.1%,368,9.5%,501,13.0%,140,06,023,010503,,,,
Census Tract 105.04,"3,438","2,549",74.1%,16,0.5%,162,4.7%,50,1.5%,3,0.1%,13,0.4%,299,8.7%,346,10.1%,140,06,023,010504,,,,
Census Tract 106,"1,849","1,536",83.1%,7,0.4%,27,1.5%,17,0.9%,1,0.1%,22,1.2%,127,6.9%,112,6.1%,140,06,023,010600,,,,
Census Tract 107.01,"4,341","3,069",70.7%,67,1.5%,183,4.2%,118,2.7%,19,0.4%,27,0.6%,304,7.0%,554,12.8%,140,06,023,010701,,,,
Census Tract 107.02,"2,570","1,892",73.6%,14,0.5%,69,2.7%,75,2.9%,0,0.0%,14,0.5%,225,8.8%,281,10.9%,140,06,023,010702,,,,
Census Tract 108,"4,910","3,281",66.8%,46,0.9%,314,6.4%,38,0.8%,7,0.1%,52,1.1%,302,6.2%,870,17.7%,140,06,023,010800,,,,
Census Tract 109.01,"4,725","2,944",62.3%,30,0.6%,112,2.4%,68,1.4%,3,0.1%,32,0.7%,290,6.1%,"1,246",26.4%,140,06,023,010901,,,,
Census Tract 109.02,"4,074","3,198",78.5%,12,0.3%,139,3.4%,29,0.7%,0,0.0%,34,0.8%,339,8.3%,323,7.9%,140,06,023,010902,,,,
Census Tract 110,"4,625","3,349",72.4%,9,0.2%,114,2.5%,51,1.1%,10,0.2%,17,0.4%,283,6.1%,792,17.1%,140,06,023,011000,,,,
Census Tract 111,"4,724","3,424",72.5%,59,1.2%,142,3.0%,34,0.7%,6,0.1%,25,0.5%,342,7.2%,692,14.6%,140,06,023,011100,,,,
Census Tract 112,"3,275","2,625",80.2%,13,0.4%,45,1.4%,25,0.8%,0,0.0%,21,0.6%,204,6.2%,342,10.4%,140,06,023,011200,,,,
Census Tract 115.01,"2,474","1,846",74.6%,36,1.5%,29,1.2%,19,0.8%,1,0.0%,28,1.1%,176,7.1%,339,13.7%,140,06,023,011501,,,,
Census Tract 115.02,"1,638","1,294",79.0%,7,0.4%,25,1.5%,23,1.4%,0,0.0%,19,1.2%,139,8.5%,131,8.0%,140,06,023,011502,,,,
Census Tract 116,"3,822","2,873",75.2%,33,0.9%,101,2.6%,45,1.2%,6,0.2%,41,1.1%,263,6.9%,460,12.0%,140,06,023,011600,,,,
Census Tract 9400,"3,173",261,8.2%,1,0.0%,"2,603",82.0%,3,0.1%,0,0.0%,7,0.2%,167,5.3%,131,4.1%,140,06,023,940000,,,,
Census Tract 9901,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,023,990100,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial County,"179,702","16,813",9.4%,"3,846",2.1%,"1,584",0.9%,"2,244",1.2%,82,0.0%,519,0.3%,"1,587",0.9%,"153,027",85.2%,050,06,025,,,,,
Census Tract 101.01,"3,499",478,13.7%,964,27.6%,50,1.4%,31,0.9%,4,0.1%,11,0.3%,36,1.0%,"1,925",55.0%,140,06,025,010101,,,,
Census Tract 101.02,"4,738",451,9.5%,98,2.1%,11,0.2%,29,0.6%,10,0.2%,4,0.1%,73,1.5%,"4,062",85.7%,140,06,025,010102,,,,
Census Tract 102,"2,293",283,12.3%,11,0.5%,1,0.0%,12,0.5%,0,0.0%,0,0.0%,21,0.9%,"1,965",85.7%,140,06,025,010200,,,,
Census Tract 103,802,302,37.7%,0,0.0%,0,0.0%,1,0.1%,1,0.1%,0,0.0%,4,0.5%,494,61.6%,140,06,025,010300,,,,
Census Tract 104.01,"2,748",104,3.8%,57,2.1%,1,0.0%,6,0.2%,1,0.0%,6,0.2%,15,0.5%,"2,558",93.1%,140,06,025,010401,,,,
Census Tract 104.02,"4,367",128,2.9%,36,0.8%,1,0.0%,9,0.2%,2,0.0%,12,0.3%,10,0.2%,"4,169",95.5%,140,06,025,010402,,,,
Census Tract 105,"6,714",763,11.4%,93,1.4%,9,0.1%,86,1.3%,0,0.0%,23,0.3%,74,1.1%,"5,666",84.4%,140,06,025,010500,,,,
Census Tract 106,"7,985","1,621",20.3%,70,0.9%,16,0.2%,132,1.7%,6,0.1%,19,0.2%,120,1.5%,"6,001",75.2%,140,06,025,010600,,,,
Census Tract 107,"4,713",166,3.5%,49,1.0%,3,0.1%,3,0.1%,1,0.0%,9,0.2%,22,0.5%,"4,460",94.6%,140,06,025,010700,,,,
Census Tract 108,"1,297",478,36.9%,2,0.2%,6,0.5%,13,1.0%,3,0.2%,10,0.8%,44,3.4%,741,57.1%,140,06,025,010800,,,,
